molecule_chembl_id,canonical_smiles,IC50_nM,pIC50
CHEMBL5990479,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1CC(F)F)C(=O)NCC2,0.2425,9.632264426380507
CHEMBL127041,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.23995,9.619879255160281
CHEMBL5280967,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@@H]2CCOC2)CC1,0.24,9.619788758288394
CHEMBL5805459,CN1CCC(Oc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.24,9.619788758288394
CHEMBL5203220,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.275,9.610924374808178
CHEMBL316064,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.2455,9.609948503541013
CHEMBL270696,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2455,9.609948503541013
CHEMBL5633067,COCCOc1cc2ncnc(Nc3cccc(OS(=O)(=O)F)c3)c2cc1OCCOC,0.25,9.602059991327963
CHEMBL328955,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,0.25,9.602059991327963
CHEMBL53426,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,0.2512,9.599980364934842
CHEMBL5206164,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.26,9.590228032229065
CHEMBL5209094,CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC)CC2)CC1,0.385,9.586962598649587
CHEMBL6190750,COc1cc2nc(C)nc(N/N=C/c3ccccc3)c2cc1OC,0.26,9.585026652029182
CHEMBL5174418,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,0.26,9.585026652029182
CHEMBL3360608,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.26,9.585026652029182
CHEMBL5564265,O=C(Nc1nccs1)[C@@H](c1cc(F)ccc1O)N1Cc2ccc(-c3ccc(N4CCNCC4)cc3)cc2C1=O,0.26,9.585026652029182
CHEMBL4851176,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,0.26,9.585026652029182
CHEMBL5897419,CCN1CCC(=Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.26,9.585026652029182
CHEMBL6148115,CCOc1nc(-c2cccc(NC(=O)c3cccc(O)c3CN3Cc4ccccc4C3=O)c2)c(-c2ccnc(NC(C)=O)c2)[nH]1,0.26,9.585026652029182
CHEMBL2031298,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.27,9.568636235841012
CHEMBL3929484,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,0.27,9.568636235841012
CHEMBL2031303,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,0.27,9.568636235841012
CHEMBL5624606,CC(C)n1c2cc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)ncc2c2c(OCC(F)(F)F)cc(N3CCN(C)CC3)cc21,0.28,9.55284196865778
CHEMBL5285052,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccc(F)cc2)c(-c2cn(C)c3ccccc23)n1,0.28,9.55284196865778
CHEMBL5178971,CCN(C)C1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.28,9.55284196865778
CHEMBL355816,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.28,9.55284196865778
CHEMBL128468,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.28090000000000004,9.551450489942223
CHEMBL5963175,COc1cc(N2CCC(N(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.281,9.55129368009492
CHEMBL271122,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2818,9.550059011226663
CHEMBL5199678,CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncnn4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,0.47,9.537860356969059
CHEMBL426580,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,0.29,9.537602002101044
CHEMBL2031305,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,0.29,9.537602002101044
CHEMBL5425947,CCc1cc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.29,9.537602002101044
CHEMBL5778626,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1CC(F)F)C(=O)NCC2,0.3005,9.526337064931306
CHEMBL5403510,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CO)cc3)cc12)c1ccccc1,0.3,9.522878745280337
CHEMBL5186362,C=CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)Oc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC,0.3,9.522878745280337
CHEMBL5917624,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(N)(=O)=O)n1,0.3,9.522878745280337
CHEMBL3544983,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,0.3,9.522878745280337
CHEMBL5773114,C[C@H]1CN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CCN1,0.3,9.522878745280337
CHEMBL5745490,COCCNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4NS(C)(=O)=O)n3)c(OC)c2)CC1,0.3,9.522878745280337
CHEMBL5206715,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCS(C)(=O)=O)CC2)CC1,0.3,9.522878745280337
CHEMBL6014342,COc1cc(N2CCC(NC(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.3,9.522878745280337
CHEMBL4078431,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,0.3,9.522878745280337
CHEMBL5816591,CN(C)[C@H]1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)C1,0.3,9.522878745280337
